Certification Body	Certified Organization Name	TE ID	Retired TE ID	License Number	Native Name	Country/Area	SC Number	SC Version Number	Standard	SC Status	Last Updated Date
ASCP	QUANZHOU XINHONG ECO-FRIENDLY MATERIAL CO., LTD.	TE-00045942		TE-00045942		China	ASC-00045942-GRS-2025-00035400	ASC-00045942-GRS-2025-00035400	GRS	Valid	2025-06-16
ASCP	JINJIANG XUTAI TEXTILE TECHNOLOGY CO., LTD.	TE-00046635		TE-00046635		China	ASC-00046635-GRS-2025-00030200	ASC-00046635-GRS-2025-00030200	GRS	Valid	2025-04-08
ASCP	WEIHAI WEIBAI IMP & EXP CO.,LTD	TE-00046924		TE-00046924		China	ASC-00046924-GRS-2024-00023300	ASC-00046924-GRS-2024-00023307	GRS	Valid	2025-11-24
ASCP	WEIHAI WEIBAI IMP & EXP CO.,LTD	TE-00046924		TE-00046924		China	ASC-00046924-RCS-2024-00023300	ASC-00046924-RCS-2024-00023301	RCS	Valid	2025-03-13
ASCP	Quanzhou Dingji Bags Co., Ltd.	TE-00048608		TE-00048608		China	ASC-00048608-GRS-2025-00032100	ASC-00048608-GRS-2025-00032100	GRS	Valid	2025-05-09
ASCP	WEISHAN KAILI TOYS CO., LTD.	TE-00051934		TE-00051934		China	ASC-00051934-GRS-2025-00032200	ASC-00051934-GRS-2025-00032200	GRS	Valid	2025-05-13
ASCP	Zhejiang Jays Suitcase Co.,Ltd.	TE-00052605		TE-00052605		China	ASC-00052605-GRS-2025-00027800	ASC-00052605-GRS-2025-00027800	GRS	Valid	2025-02-13
ASCP	DALIAN YANGERTE GARMENT CO.,LTD	TE-00052852		TE-00052852		China	ASC-00052852-OCS-2024-00024400	ASC-00052852-OCS-2024-00024400	OCS	Valid	2024-12-24
ASCP	ZHUCHENG FUFENG TEXTILES CO.,LTD	TE-00053858		TE-00053858		China	ASC-00053858-OCS-2024-00022400	ASC-00053858-OCS-2024-00022400	OCS	Valid	2024-12-22
ASCP	Shicheng County Changan Sun Shoes and Garment Co., Ltd.	TE-00054683		TE-00054683		China	ASC-00054683-GRS-2025-00036500	ASC-00054683-GRS-2025-00036500	GRS	Valid	2025-07-01
ASCP	DALIAN GEERTE GARMENT CO.,LTD	TE-00054847		TE-00054847		China	ASC-00054847-RDS-2025-00034800	ASC-00054847-RDS-2025-00034800	RDS	Valid	2025-06-13
ASCP	QUANZHOU FUDALI BAG COMPANY LIMITED	TE-00056259		TE-00056259		China	ASC-00056259-GRS-2025-00033700	ASC-00056259-GRS-2025-00033700	GRS	Valid	2025-05-28
ASCP	QUANZHOU WIN LAND OUTDOOR PRODUCTS CO.,LTD	TE-00058991		TE-00058991		China	ASC-00058991-GRS-2024-00021100	ASC-00058991-GRS-2024-00021102	GRS	Valid	2025-07-28
ASCP	Dalian Faric Garment Enterprises Corp. Ltd.	TE-00059390		TE-00059390		China	ASC-00059390-GRS-2025-00034700	ASC-00059390-GRS-2025-00034704	GRS	Valid	2025-11-19
ASCP	QINGDAO YASHAN WOOLEN KNITWEAR CO.,LTD.	TE-00059910		TE-00059910		China	ASC-00059910-GRS-2025-00026700	ASC-00059910-GRS-2025-00026703	GRS	Valid	2025-09-27
ASCP	TAI AN ZHEN JIE SWEATER FACTORY	TE-00060281		TE-00060281		China	ASC-00060281-MUL-2025-00049500	ASC-00060281-MUL-2025-00049500	GRS,OCS	Valid	2025-11-14
ASCP	Zhucheng Yixin Garment Co., Ltd.	TE-00061009		TE-00061009		China	ASC-00061009-GRS-2025-00031900	ASC-00061009-GRS-2025-00031901	GRS	Valid	2025-07-11
ASCP	Zhucheng Yixin Garment Co., Ltd.	TE-00061009		TE-00061009		China	ASC-00061009-RCS-2025-00031900	ASC-00061009-RCS-2025-00031901	RCS	Valid	2025-07-07
ASCP	Nanan Rongli Webbing Co., Ltd.	TE-00061547		TE-00061547		China	ASC-00061547-GRS-2025-00045000	ASC-00061547-GRS-2025-00045000	GRS	Valid	2025-09-23
ASCP	Ever Honest Co., Ltd.	TE-00062692		TE-00062692		China	ASC-00062692-RDS-2025-00029800	ASC-00062692-RDS-2025-00029800	RDS	Valid	2025-04-19
ASCP	Jiangxi Ganyu Textile Garment Co., Ltd	TE-00065132		TE-00065132		China	ASC-00065132-GRS-2025-00045400	ASC-00065132-GRS-2025-00045400	GRS	Valid	2025-10-27
