id	supplier	material_name	composition	composition_formated	colour	width	weight	price	minimum	image_url
7514	SPIN AKER	Nepal yarn	75% TENCEL™ Lyocell 25% himalayan nettle nm. 2/40000	"[[75,""tencel lyocell""],[25,""nettles""]]"	marcio 1176					https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7514
7512	NESA TEKSTIL	Heimtextile 2024 - 4496 : %80 cotton+ % 20 tencel	80% cotton 20% TENCEL™ Lyocell	"[[80,""cotton""],[20,""tencel lyocell""]]"	white	70x140cm	700g/m²	on request	500pcs per size	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7512
7511	NESA TEKSTIL	HV-23 11719 NESA	75% cotton 25% TENCEL™ Lyocell	"[[75,""cotton""],[25,""tencel lyocell""]]"	antracite	70x130cm	700g/m²	on request	500pcs per size	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7511
7510	NESA TEKSTIL	Heimtextile 2024 - 4494 ULTRASOFT	80% cotton 20% TENCEL™ Lyocell	"[[80,""cotton""],[20,""tencel lyocell""]]"	white	70x140cm	660g/m²	on request	500pcs per size	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7510
7509	RUGGERO ROSSI	RUGGERO ROSSI AGNESE SOFT	100% linen	"[[100,""linen""]]"		150cm	400g/m²		100m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7509
7498	SOMELOS	SOMELOS TECIDOS KENTUCKY	100% linen	"[[100,""linen""]]"		152cm	126g/m²		60m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7498
7493	LEMAITRE DEMEESTERE	LEMAITRE DEMEESTERE TAIS CASUAL NATUREL	100% linen	"[[100,""linen""]]"		145cm	315g/m²		200m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7493
7474	TMG TEXTILES	TMG SESTRI	100% linen	"[[100,""linen""]]"		150cm	120g/m²			https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7474
7473	SOMELOS	SOMELOS TECIDOS SANCET	60% TENCEL™ Lyocell 40% linen	"[[60,""tencel lyocell""],[40,""linen""]]"		153cm	200g/m²		60m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7473
7472	SOMELOS	SOMELOS TECIDOS MARTINIQUE	100% linen	"[[100,""linen""]]"		154cm	208g/m²		60m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7472
7471	SERVIZI E SETA SRL	SERVIZI E SETA SRL FUJI NM. 2/52	73% linen 27% organic cotton	"[[73,""linen""],[27,""regenerative cotton""]]"			nm 2/52		1kg	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7471
7465	GRAZIANO_FU_SEVERINO	F.LLI GRAZIANO FU SEVERINO EMIANE MIX	100% linen	"[[100,""linen""]]"		180cm	190g/m²		12m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7465
7463	BELLANDI	BELLANDI S.P.A ASTERIX	100% linen	"[[100,""linen""]]"		148/15cm	280-290g/m²		300 m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7463
7457	SAENTIS TEXTILES	RCO100 NE16/1 OE SINGLE JERSEY (RCK-SJ-16E)	100% mechanically recycled cotton	"[[100,""recycled cotton""]]"	low impact dyeing	170cm	230g/m²		1500kg	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7457
7456	SAENTIS TEXTILES	RCO100 NE20/1 RING COMPACT PIQUE (RCK-PQ-20R)	100% mechanically recycled cotton	"[[100,""recycled cotton""]]"	low impact dyeing	190cm	200g/m²		1500kg	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7456
7455	SAENTIS TEXTILES	RCO100 NE24/1 RING COMPACT SINGLE JERSEY (RCK-SJ-24R)	100% mechanically recycled cotton	"[[100,""recycled cotton""]]"	low impact dyeing	198cm	170g/m²		1500kg	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7455
7342	RECYCTEX CO., LTD.	RONT 4098	100% recycled nylon	"[[100,""recycled nylon""]]"		"56"""	126g/m²		mcq/moq:1k m/5k m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7342
7287	PARLEY	90073+OPU8007.	100% ocean plastic® recycled polyester	"[[100,""recycled polyester""]]"		"58"""	373	upon request	"""5,000 yards per order / 1,000 yards per color"""	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7287
7286	PARLEY	24818GRS.	100% ocean plastic® recycled polyester	"[[100,""recycled polyester""]]"		124cm	165g/m²	upon request	105m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7286
7285	PARLEY	25316GRS.	92% ocean plastic® recycled polyester / 8% pa	"[[92,""recycled polyester""],[8,""polyamide""]]"		129cm	419g/m²	upon request	105m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7285
7216	FICUS NATURAL DYEING INNOVATIONS	F222 - H-3 PLY BB	70% organic cotton 30% hemp BioFibre™	"[[70,""regenerative cotton""],[30,""hemp""]]"	natural dyeing -plant waste based-	155cm	470g/m²	£9.85/m	2500m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7216
7215	FICUS NATURAL DYEING INNOVATIONS	F45 - H-3 PLY BB	70% TENCEL™ Lyocell 30% hemp BioFibre™	"[[70,""tencel lyocell""],[30,""bio-based materials""]]"	natural dyeing -plant waste based-	188cm	360g/m²	£9.20/m	2500m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7215
7207	SPIBER INC.	Broadcloth BC/W-2151	90% cotton 10% brewed protein™ fiber	"[[90,""cotton""],[10,""brewed protein""]]"	reactive dyeing. please see digital color card pdf document.	112cm	104g/㎡	US$17/m	1000m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7207
7214	FICUS NATURAL DYEING INNOVATIONS	F25 - H-3 PLY	40% organic cotton 30% hemp BioFibre™ 30% TENCEL™ Lyocell	"[[40,""regenerative cotton""],[30,""hemp""],[30,""tencel lyocell""]]"	natural dyeing -plant waste based-	195cm	410g/m²	£10.60/m	2500m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7214
7206	SPIBER INC.	13oz Denim BC/W-21C8	warp: 100% cotton weft: 90% cotton 10% brewed protein™ fiber	"[[100,""cotton""],[90,""cotton""],[10,""brewed protein""]]"	synthetic indigo	148cm	455g/㎡	US$27/m	2,100m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7206
7205	SPIBER INC.	12oz Denim BC/W-21C7	warp: 100% cotton weft: 90% cotton 10% brewed protein™ fiber	"[[100,""cotton""],[90,""cotton""],[10,""brewed protein""]]"	synthetic indigo	147cm	424g/㎡	US$26/m	2,100m	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7205
7138	ETHICAL FASHION ARTISANS EPZ LTD	RAFFIA FINE WEAVED PANEL	100% raffia	"[[100,""raffia""]]"	natural colour, not dyed but vegetable dyes option possible	circular, diameter 20cm		depending on order. price of an averaged sized basket ( 30cm height and 40 cm diamater) in weaved raffia is 26.2 $. nb: artisan fashion prices are ex-factory.	no minimum	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7138
7137	ETHICAL FASHION ARTISANS EPZ LTD	RAFFIA CROCHET PANEL	100% raffia	"[[100,""raffia""]]"	natural colour, not dyed but vegetable dyes option possible	20x30cm		depending on order. price of an averaged sized basket (30cm height and 40 cm diamater) in raffia crochet is 36.2 $. nb: artisan fashion prices are ex-factory.	no minimum	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7137
7136	ETHICAL FASHION ARTISANS EPZ LTD	BANANA FINE WEAVED PANEL	100% banana fibre	"[[100,""banana fiber""]]"	natural colour, not dyed but vegetable dyes option possible	circular, diameter 20cm		depending on order. price of an averaged sized basket (30cm height and 40 cm diamater) in banana is 29.3 $. nb: artisan fashion prices are ex-factory.	no minimum	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7136
