Facility	Product_Category_Desc	Product_Category_Code	Product_Detail_Desc	Product_Detail_Code	Raw_Material_Description	Raw_Material_Code	Raw_Material_Percentage
Fujian Lvbao Renewable Resources Co.,Ltd.	Processed post-consumer materials	PC0035	Chips (pellets)	PD0085	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Zhuowang New Material Co., Ltd.	Greige yarns	PC0030	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	100.0
FUJIAN TOTOPS OUTDOOR TECH CO.,LTD.	Women's apparel	PC0002	Overcoats, jackets, vests	PD0001	Polyester -  Recycled Post-Consumer	RM0189	100
SUZHOU ZHONGJIANG CHEMICAL FIBER TECHNOLOGY CO., LTD	Greige yarns	PC0030	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	100.00
FUJIAN TOTOPS OUTDOOR TECH CO.,LTD.	Men's apparel	PC0001	Overcoats, jackets, vests	PD0001	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Zhongjunheng Textile Technology Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Cotton - Non Certified	RM0102	60
FUJIAN TOTOPS OUTDOOR TECH CO.,LTD.	Children's apparel	PC0004	Overcoats, jackets, vests	PD0001	Polyamide (nylon) - Non Certified	RM0182	49
Fujian Suntion Textile Technology Co., Ltd.	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100.00
Suzhou Zhiqi Textile Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton - Non Certified	RM0102	45
Fujian Suntion Textile Technology Co., Ltd.	Fabrics	PC0028	Special fabrics	PD0063	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	73.00
FUJIAN SINCETECH PRINTING AND DYEING CO., LTD.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	10.00
Suzhou Zhiqi Textile Co., Ltd.	Functional accessories	PC0017	Trimmings	PD0039	Cotton -  Recycled Pre-Consumer	RM0106	100
Suzhou Zhiqi Textile Co., Ltd.	Greige fabrics	PC0026	Knitted fabrics	PD0058	Cotton - Non Certified	RM0102	45
Fujian Shishi Chenguang Fiber Dyeing &Weaving Co., Ltd.	Dyed yarns	PC0029	Carded yarns	PD0067	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Zhongtao Weaving Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	8.0
Suzhou Zhongtao Weaving Co., Ltd.	Fabrics	PC0028	Special fabrics	PD0063	Polyester -  Recycled Post-Consumer	RM0189	91.0
Suzhou Zhongtao Weaving Co., Ltd.	Greige fabrics	PC0026	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Zhiqin Textile Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Post-Consumer	RM0185	52
Suzhou Zhitong Textile Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Fujian Honggang Textile Technology Co., Ltd.	Men's apparel	PC0001	Activewear, sportswear	PD0008	Elastane (spandex) - Non Certified	RM0160	10
Suzhou Zhitong Textile Co., Ltd.	Greige fabrics	PC0026	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Zhituo Textile Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	18.0
Suzhou Zhiyi Textile Co., Ltd.	Filling, stuffing	PC0020	Man-made fiber filling	PD0048	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Zhiyi Textile Co.,Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	6.00
Fujian Honggang Textile Technology Co., Ltd.	Fabrics	PC0028	Special fabrics	PD0063	Elastane (spandex) - Non Certified	RM0160	10
Suzhou Zhiyi Textile Co.,Ltd.	Fabrics	PC0028	Special fabrics	PD0063	Polyester -  Recycled Post-Consumer	RM0189	100.00
Suzhou Zhiyuqi Textile Technology Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Zhiyuqi Textile Technology Co.,Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Cotton - Non Certified	RM0102	16.00
Suzhou Zhuowang New Material Co., Ltd.	Dyed yarns	PC0029	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	97.0
Suzhou Zhihe Chemical Fiber Technology Co.,Ltd.	Processed post-consumer materials	PC0035	Chips (pellets)	PD0085	Polyester -  Recycled Post-Consumer	RM0189	100.00
Suzhou Zhihe Chemical Fiber Technology Co.,Ltd.	Dyed yarns	PC0029	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	100
FUJIAN UNITEX TECHNOLOGY CO. LTD.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
SUZHOU YOWELL TEXTILE CO.,LTD.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	0
Suzhou Youlaisite Textile Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100.0
Fujian Lihong Dyeing and Finishing Co., Ltd.	Fabrics	PC0028	Special fabrics	PD0063	Elastane (spandex) - Non Certified	RM0160	0
Suzhou Youminhong Textile Finishing Co., Ltd. 苏州市优珉红纺织后整理有限公司	Fabrics	PC0028	Special fabrics	PD0063	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Youshiyue Textile Co., LTD	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Youshun Metal Cutting Co., Ltd	Processed post-consumer materials	PC0035	Other	PD0100	Metal -  Recycled Post-Consumer	RM0249	20
Suzhou Youyue Environmental Protection Material Co., Ltd	Packaging	PC0023	Other	PD0100	Polyethylene terephthalate (PET) -  Recycled Post-Consumer	RM0197	100
Suzhou Youyue Environmental Protection Material Co., Ltd.	Packaging	PC0023	Other	PD0100	Polyethylene terephthalate (PET) -  Recycled Post-Consumer	RM0197	100
SUZHOU YOUYUE TEXTILES TECHNOLOGY., LTD.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) - Non Certified	RM0182	44
FUJIAN LIANFENGSHENG DYEING & FLOCKING CO., LTD.	Undyed fabrics	PC0027	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	1-50
Suzhou Youzheng Textile Technology Co., Ltd.苏州优整纺织科技有限公司	Dyed fabrics	PC0025	Woven fabrics	PD0059	Cotton - Non Certified	RM0102	45.0
Suzhou Youzheng Textile Technology Co., Ltd.苏州优整纺织科技有限公司	Fabrics	PC0028	Special fabrics	PD0063	Elastane (spandex) - Non Certified	RM0160	4.0
Suzhou Youzheng Textile Technology Co., Ltd.苏州优整纺织科技有限公司	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.0
Fujian Liancheng Lishang Textile Co., Ltd	Fabrics	PC0028	Special fabrics	PD0063	Elastane (spandex) - Non Certified	RM0160	10
Suzhou Zhihe Chemical Fiber Technology Co., Ltd.	Dyed yarns	PC0029	Carded yarns	PD0067	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Zhi Jing Textile Co., Ltd. 苏州织璟纺织有限公司	Greige fabrics	PC0026	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	8.0
Suzhou Zhi Jing Textile Co., Ltd. 苏州织璟纺织有限公司	Greige yarns	PC0030	Filament	PD0069	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100.0
Suzhou Zhibochuang Textile Technology Co., Ltd. 苏州智帛创纺织科技有限公司	Greige fabrics	PC0026	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	10.0
Suzhou Zhibochuang Textile Technology Co.,Ltd.	Greige fabrics	PC0026	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	10.00
Suzhou Zhicheng Pigment Co., Ltd.	Processed post-consumer materials	PC0035	Chips (pellets)	PD0085	Acrylonitrile Butadiene Styrene (ABS)  -  Recycled Post-Consumer	RM0271	100.00000
Suzhou Zhichou Textile Co., Ltd	Dyed fabrics	PC0025	Woven fabrics	PD0059	Cotton - Non Certified	RM0102	35
Fujian Jinkai Warp KnittingCo., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	17
Suzhou Zhicui Textile Co., Ltd.	Fabrics	PC0028	Special fabrics	PD0063	Polyester -  Recycled Post-Consumer	RM0189	100
SUZHOU ZHIQI TEXTILE CO.,LTD.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton - Non Certified	RM0102	1-50
SUZHOU ZHIQI TEXTILE CO.,LTD.	Dyed yarns	PC0029	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	100
SUZHOU ZHIQI TEXTILE CO.,LTD.	Fabrics	PC0028	Special fabrics	PD0063	Elastane (spandex) - Non Certified	RM0160	1-50
Fujian Huaxia Synthetic Leather Co., LTD	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Zhuowang New Material Co., Ltd.	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	90.0
Suzhou Zhongliang Textile Technology Co., Ltd	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton -  Recycled Pre-Consumer	RM0106	50
Fujian Hengkai Print Technology Co. Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton - Non Certified	RM0102	0%-80%
Suzhou Zhongliang Textile Technology Co., Ltd	Fabrics	PC0028	Non-woven fabrics	PD0062	Polypropylene  -  Recycled Post-Consumer	RM0205	100
Suzhou Zhoushun Garments Co., Ltd. (main)	Children's apparel	PC0004	Activewear, sportswear	PD0008	Polyamide (nylon) -  Recycled Post-Consumer	RM0185	100
Fujian Huaneng Industry & Trade Co., Ltd	Women's apparel	PC0002	Dresses, skirts	PD0011	Acrylic - Non Certified	RM0156	13
Fujian Huaneng Industry & Trade Co., Ltd	Men's apparel	PC0001	Overcoats, jackets, vests	PD0001	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Fujian Huaneng Industry & Trade Co., Ltd	Dyed yarns	PC0029	Fancy yarns	PD0072	Acrylic - Non Certified	RM0156	33.00
Suzhou Zhoushun Graments Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Post-Consumer	RM0185	100.00000
Fujian Huaneng Industry & Trade Co., Ltd	Children's apparel	PC0004	Dresses, skirts	PD0011	Acrylic - Non Certified	RM0156	10
Fujian Hengkai Print Technology Co., Ltd.	Worn accessories	PC0012	Hats, caps, head coverings	PD0030	Elastane (spandex) - Non Certified	RM0160	15
SUZHOU ZHUO YI BAGS CO., LTD.	Carried accessories	PC0011	Bags, handbags, totes, pouches	PD0024	Polyamide (nylon) -  Recycled Post-Consumer	RM0185	5-94
Fujian Hengkai Print Technology Co., Ltd.	Unisex apparel	PC0005	Activewear, sportswear	PD0008	Elastane (spandex) - Non Certified	RM0160	15
Fujian Hengkai Print Technology Co., Ltd.	Printed fabrics	PC0039	Knitted fabrics	PD0058	Polyamide (nylon) -  Recycled Post-Consumer	RM0185	100
Suzhou Zhuohang Textile Co., Ltd	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Zhuorui Textile Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	0
Fujian Hengkai Print Technology Co., Ltd.	Men's apparel	PC0001	Activewear, sportswear	PD0008	Elastane (spandex) - Non Certified	RM0160	10
Fujian Hengkai Print Technology Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyamide (nylon) -  Recycled Post-Consumer	RM0185	100
Suzhou Zhuowang New Material Co., Ltd. 苏州卓旺新型材料有限公司	Dyed yarns	PC0029	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	97.0
Suzhou Zhuowang New Material Co., Ltd. 苏州卓旺新型材料有限公司	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	90.0
Fujian Hengkai Print Technology Co., Ltd.	Children's apparel	PC0004	Activewear, sportswear	PD0008	Elastane (spandex) - Non Certified	RM0160	15
Suzhou Zhuowang New Material Co., Ltd. 苏州卓旺新型材料有限公司	Greige yarns	PC0030	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	100.0
Fujian Hengkai Print Technology Co., Ltd.	Babies' apparel	PC0003	Babies' accessories	PD0014	Elastane (spandex) - Non Certified	RM0160	15
Fujian Honggang Textile Technology Co.,Ltd.	Printed fabrics	PC0039	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	24
SUZHOU ZHUYUE TEXTILE CO., LTD.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	0
Fujian Honggang Textile Technology Co.,Ltd.	Fabrics	PC0028	Special fabrics	PD0063	Elastane (spandex) - Non Certified	RM0160	10.00
SUZHOU ZIC-QUEEN TEXTILES CO., LTD	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100
SUZHOU ZIC-QUEEN TEXTILES CO., LTD.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Fujian Honggang Textile Technology Co.,Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) -  Recycled Pre-Consumer	RM0162	19.00
Suzhou Zidi Textile Co., Ltd	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	0
Suzhou Z-star Textile Co., Ltd. 苏州正仕达纺织有限公司	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	50.0
Suzhou Zhongyuantong Textile Co., Ltd.	Fabrics	PC0028	Special fabrics	PD0063	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Zhongyuantong Textile Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Cotton -  Recycled Pre-Consumer	RM0106	100
Suzhou Zhongyuantong Textile Co., Ltd	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	2
Suzhou Zhongsheng Textile Co., Ltd.	Greige fabrics	PC0026	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	12.00
Suzhou Zican Textile Technology  Co., Ltd	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Zican Textile Technology  Co., Ltd	Fabrics	PC0028	Special fabrics	PD0063	Other - Non Certified	RM0262	5
Suzhou Zican Textile Technology  Co., Ltd	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
FUJIAN RUIHONG JACQUARD INDUSTRY CO.,LTD.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100.00
Suzhou Zhongqi Textile Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Cotton -  Recycled Pre-Consumer	RM0106	100
Suzhou Zonghao Textile Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	8
Suzhou Zhongqi Textile Technology Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Fujian Province Changle City Tianyang Knitting Co., Ltd.	Fabrics	PC0028	Special fabrics	PD0063	Elastane (spandex) - Non Certified	RM0160	8.0
SUZHOU ZHONGSHAN TEXTILE TECHNOLOGY CO., LTD	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
SUZHOU ZHONGSHAN TEXTILE TECHNOLOGY CO.，LTD	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Fujian Naqi Textile Technology Co., Ltd.	Greige fabrics	PC0026	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Zhongsheng Textile Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	12.00
Fujian Lizhiying Knitting Co., Ltd.	Fabrics	PC0028	Special fabrics	PD0063	Elastane (spandex) - Non Certified	RM0160	12.00
Suzhou Zhongyizhong Textile Co.,Ltd.	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.00
Suzhou Zhongsheng Textile Co., Ltd. 苏州中晟纺织有限公司	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	12.0
Suzhou Zhongsheng Textile Co., Ltd. 苏州中晟纺织有限公司	Fabrics	PC0028	Non-woven fabrics	PD0062	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Zhongsheng Textile Co., Ltd. 苏州中晟纺织有限公司	Greige fabrics	PC0026	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	12.0
SUZHOU ZHONGTAO TEXTILE IMPORT&EXPORT CO., LTD.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	10
Suzhou Zhongtao Weaving Co., Ltd. 苏州中涛纺织有限公司	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	3.0
Suzhou Zhongtao Weaving Co., Ltd. 苏州中涛纺织有限公司	Fabrics	PC0028	Special fabrics	PD0063	Polyester -  Recycled Post-Consumer	RM0189	91.0
Suzhou Zhongtao Weaving Co., Ltd. 苏州中涛纺织有限公司	Greige fabrics	PC0026	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Zhongwei Textile Technology Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Fujian Ligatex Textiles Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton -  Recycled Pre-Consumer	RM0106	100
Suzhou Zhongxian New Materials Technology Co., Ltd	Processed post-consumer materials	PC0035	Chips (pellets)	PD0085	Polyamide (nylon) -  Recycled Post-Consumer	RM0185	100
SUZHOU ZHONGXING ARTS & CRAFTS CO., LTD	Footwear	PC0016	Shoes	PD0035	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Zhongyizhong Textile Co., Ltd.	Greige fabrics	PC0026	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	12.0
Suzhou UltraTex Technology Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Uber Clan Supply Chain Management Services Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Tuye Textile Co,.Ltd	Home textiles	PC0010	Carpets, rugs, floor coverings	PD0022	Polyester -  Recycled Post-Consumer	RM0189	50
SUZHOU QIANHUI TEXTILE TECHNOLOGY CO., LTD. 苏州谦荟纺织科技有限公司	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.0
SUZHOU POLYPERTS ADVANCED MATERIAL CO., LTD.	Dyed yarns	PC0029	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	95
SUZHOU POLYPERTS ADVANCED MATERIAL CO., LTD.	Greige yarns	PC0030	Core-spun yarns	PD0071	Elastane (spandex) - Non Certified	RM0160	16
Suzhou Prologue Textile Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	30
SUZHOU POLYPERTS ADVANCED MATERIAL CO., LTD. 苏州葆丽涤新材料有限公司	Dyed yarns	PC0029	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	95.0
SUZHOU POLYPERTS ADVANCED MATERIAL CO., LTD. 苏州葆丽涤新材料有限公司	Greige yarns	PC0030	Core-spun yarns	PD0071	Elastane (spandex) - Non Certified	RM0160	16.0
GAMMA TEXTILE MANUFACTURING CO., LTD.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Acrylic - Non Certified	RM0156	14.0
SUZHOU POLYSUN POLYMER CO., LTD.	Processed post-consumer materials	PC0035	Chips (pellets)	PD0085	Polycarbonate (PC)  -  Recycled Post-Consumer	RM0275	30
Suzhou Populus Euphratica Textile Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Pretty Fashion Co., Ltd.	Men's apparel	PC0001	Pants, trousers	PD0003	Polyester -  Recycled Post-Consumer	RM0189	100
Gamma Giyim Ev Tekstili Gıda ve Tarım Ür. San. ve Tic. Aş.	Women's apparel	PC0002	Pants, trousers	PD0003	Cotton - Organic	RM0104	59.0
Suzhou Pufeng fiber products Co., Ltd.	Fabrics	PC0028	Non-woven fabrics	PD0062	Polyester -  Recycled Post-Consumer	RM0189	100
Gamma Giyim Ev Tekstili Gıda ve Tarım Ür. San. ve Tic. Aş.	Unisex apparel	PC0005	Pants, trousers	PD0003	Cotton - Organic	RM0104	59.0
Gamma Giyim Ev Tekstili Gıda ve Tarım Ür. San. ve Tic. Aş.	Men's apparel	PC0001	Dresses, skirts	PD0011	Cotton - Organic	RM0104	90.0
Suzhou Qianmeng Textile Co., Ltd	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Pure-fiber Textile Technology Co., Ltd.	Greige yarns	PC0030	Carded yarns	PD0067	Polyester -  Recycled Post-Consumer	RM0189	100.00
Suzhou Pure-fiber Textile Technology Co., Ltd. 苏州普路通纺织科技有限公司	Greige yarns	PC0030	Carded yarns	PD0067	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Qianwen Textile Co.,Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	7.00
Suzhou Pure-fiber Textile Technology Co.,Ltd.	Greige yarns	PC0030	Carded yarns	PD0067	Polyester -  Recycled Post-Consumer	RM0189	100.00
Suzhou Puxu Textile Co., Ltd	Printed fabrics	PC0039	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
SUZHOU PUYA TEXTILE CO., LTD	Dyed fabrics	PC0025	Woven fabrics	PD0059	Cotton - Non Certified	RM0102	1-95
SUZHOU PUYA TEXTILE CO., LTD.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Cotton - Non Certified	RM0102	1-95
Gamma Giyim Ev Tekstili Gıda ve Tarım Ür. San. ve Tic. Aş.	Carried accessories	PC0011	Bags, handbags, totes, pouches	PD0024	Metal - Non Certified	RM0246	2.0
SUZHOU Q TEXTILE CO., LTD.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
SUZHOU Q TEXTILE CO., LTD.	Fabrics	PC0028	Special fabrics	PD0063	Other -  Recycledpre-consumer	RM0266	12
Suzhou Qiaotai Textile Finishing Co.,Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100
Gamma Giyim Ev Tekstili Gıda ve Tarım Ür. San. ve Tic. Aş.	Babies' apparel	PC0003	Babies' clothing	PD0013	Cotton -  Recycled Post-Consumer	RM0107	20.0
Suzhou Qianfeng New Material Scientific Research Co., Ltd. 苏州乾丰新材料科学研究有限公司	Dyed yarns	PC0029	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	100.0
GAMMA TEXTILE MANUFACTURING CO., LTD.	Greige fabrics	PC0026	Knitted fabrics	PD0058	Acrylic - Non Certified	RM0156	14.0
SUZHOU PNC TEXTILE CO.,LTD.	Printed fabrics	PC0039	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
SUZHOU PLD TRADING CO LTD	Hard goods	PC0022	Other	PD0100	Acrylonitrile Butadiene Styrene (ABS)  -  Recycled Post-Consumer	RM0271	20
Suzhou Meizhier Textile Technology Co., Ltd	Fabrics	PC0028	Special fabrics	PD0063	Polyester -  Recycled Post-Consumer	RM0189	100
GAMZE TRIKO TEKSTIL SANAYI VE DIS TICARET LIMITED SIRKETI	Women's denim apparel	PC0007	Dresses, skirts	PD0011	Cotton - Organic	RM0104	50
SUZHOU MEGUSTA FASHION CO., LTD.	Men's apparel	PC0001	Overcoats, jackets, vests	PD0001	Cotton - Non Certified	RM0102	40.00
SUZHOU MEGUSTA FASHION CO., LTD.	Women's apparel	PC0002	Dresses, skirts	PD0011	Cotton - Non Certified	RM0102	40.00
GAMZE TRIKO TEKSTIL SANAYI VE DIS TICARET LIMITED SIRKETI	Women's apparel	PC0002	Sweaters, pullovers, cardigans	PD0004	Acrylic - Non Certified	RM0156	70
Suzhou Meijiayou Textile Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.00
Suzhou Meisu Nylon Plastic Co., Ltd	Dyed yarns	PC0029	Fancy yarns	PD0072	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Meisu Nylon Plastic Co., Ltd	Greige yarns	PC0030	Carded yarns	PD0067	Polyamide (nylon) -  Recycled Post-Consumer	RM0185	100
GAMZE TRIKO TEKSTIL SANAYI VE DIS TICARET LIMITED SIRKETI	Men's denim apparel	PC0006	Overcoats, jackets, vests	PD0001	Cotton -  Recycled Post-Consumer	RM0107	20
Suzhou Meisu Nylon Plastic Co., Ltd	Processed post-consumer materials	PC0035	Chips (pellets)	PD0085	Polyamide (nylon) -  Recycled Post-Consumer	RM0185	100
Suzhou Meixu Fabric Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Meixu Fabric Co., Ltd. 苏州美旭面料有限公司	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Meiyada Textile Co.,Ltd	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton - Non Certified	RM0102	28
Suzhou Meizhier Textile Technology Co., Ltd	Printed fabrics	PC0039	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Plastic Color Synthetic Material Technology Co., Ltd	Processed post-consumer materials	PC0035	Chips (pellets)	PD0085	Other - Non Certified	RM0262	15
Suzhou Melon New Material Co., Ltd.	Functional accessories	PC0017	Other	PD0100	Other - Non Certified	RM0262	0
SUZHOU MENGNAİQİAO NEW MATERİAL CO., LTD.	Greige yarns	PC0030	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	100
GAMZE TRIKO TEKSTIL SANAYI VE DIS TICARET LIMITED SIRKETI	Men's apparel	PC0001	Overcoats, jackets, vests	PD0001	Cotton -  Recycled Pre-Consumer	RM0106	40
